StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q7,Q8,Q9,Q10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your group initials (judge team)?,What is the presentation team?,"Presentation Score 
Please consult the Presentation Evaluation Assignment to evaluate the presentation - Style","Presentation Score 
Please consult the Presentation Evaluation Assignment to evaluate the presentation - Content","Presentation Score 
Please consult the Presentation Evaluation Assignment to evaluate the presentation - Visual Aids","Presentation Score 
Please consult the Presentation Evaluation Assignment to evaluate the presentation - Creativity and Interest",Positive 1,Positive 2,Suggestion 1,Suggestion 2
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}"
2022-04-20 08:32:35,2022-04-20 08:52:47,IP Address,161.130.189.219,100,1211,True,2022-04-20 08:52:48,R_WptDtBzYEgaqqSR,,,,,38.9361,-92.3056,anonymous,EN,SB,AD,9,8,10,9,"Each member did a great job speaking clearly and communicating efficiently to the audience ","The Slides were all organized and made it easy to follow the presentation. The use of graphs to show the survey results helped the audience understand the research problems and data. ",Many students claimed that the career fairs were very crowded and the space was not large enough. I would suggest looking into what the most popular time students go to the fair.,"I would also suggest spending less time on the questionnaire questions so that there is more time to go in depth on the recommendations.  "
2022-04-20 08:52:12,2022-04-20 08:55:22,IP Address,161.130.189.203,100,190,True,2022-04-20 08:55:23,R_1exZdXkvNnoSoqG,,,,,38.9361,-92.3056,anonymous,EN,JB,AD,9,10,10,9,The group was very prepared for the presentation and provided great content,They were all very clear communicating their information.,Some members talked in a monotone fashion throughout the presentation,"The slides were pretty dull "
2022-04-20 08:43:48,2022-04-20 08:56:21,IP Address,161.130.189.206,100,753,True,2022-04-20 08:56:22,R_2rAZolXRcErujzB,,,,,38.9361,-92.3056,anonymous,EN,RL,AD,10,10,10,10,"The group did a thorough job of explaining the Excel graphs, results, and how they related to the project.","The presentation format was very professional, neat, and creative.",It would have been nice to see a few more images on the presentation.,"As the group was explaining the appendices, the presentation was slightly repetitive."
2022-04-20 08:56:54,2022-04-20 09:03:07,IP Address,161.130.189.250,100,373,True,2022-04-20 09:03:07,R_1K1PlEfOL2f8I6h,,,,,38.9361,-92.3056,anonymous,EN,NC,AD,9,10,10,7,The group did a great job of not looking on the slides or reading directly off them! Eye contact and enthusiasm was great as well.They were able to elaborate without notes which shows they know their project inside and out.,Slides were clean and readable and the information was easy to digest and understand in the graph formats.,"Moving forward on the appendices slides, I wouldn't read every question verbatim and instead just summarize the important points and move along.  ","Having so many people present is a bit of a distraction and I think it works against groups and takes longer then if there were less people! This also helps with consistency across presentation style and technique. "
2022-04-20 09:08:54,2022-04-20 09:11:30,IP Address,161.130.189.206,100,155,True,2022-04-20 09:11:30,R_1LHDiWoHIjaGbGW,,,,,38.9361,-92.3056,anonymous,EN,RL,AG,10,10,9,10,The group utilized many graphs and thoroughly explained them to the class.,The group used a lot of examples to make the presentation relatable to the audience and easy to understand.,The presentation could have used a few more images.,Some of the writing could have been centered to be more uniform.
2022-04-20 08:56:05,2022-04-20 09:11:46,IP Address,161.130.189.219,100,941,True,2022-04-20 09:11:47,R_VWNf1RXFfHNjzQ5,,,,,38.9361,-92.3056,anonymous,EN,SB,AG,7,8,7,7,Each group member spoke clearly and was easy to understand.,"The cross tabulation table was the well made and well explained for the audience ","Some of the graphs were somewhat hard to follow. I would suggest either going further in depth when explaining them, or creating more organized graphs","The slides could have more color and excitement. The slides were very monotone and did not draw the audiences attention. "
2022-04-20 08:55:37,2022-04-20 09:13:15,IP Address,161.130.189.233,100,1058,True,2022-04-20 09:13:16,R_Ug3RFFc7ZnL9eUN,,,,,38.9361,-92.3056,anonymous,EN,NC,AG,10,10,10,9,"Charts/diagrams easy to read and interpret. ","Good explanation of data. ","A little bit monotone reading of slides. Made it difficult to be interested at first. ","More color on the graphs. Some of them were a little difficult to read from being all one color. "
2022-04-20 09:12:06,2022-04-20 09:14:46,IP Address,161.130.189.226,100,160,True,2022-04-20 09:14:46,R_2Ejb0GEMVIzYgKP,,,,,38.9361,-92.3056,anonymous,EN,JB,AG,7,7,7,5,Hard topic to dissect and you guys did it pretty well,Good hypothesis tests,Have set in stone recommendations,"Add some pictures "
2022-04-20 08:18:32,2022-04-20 09:17:43,IP Address,161.130.189.234,100,3551,True,2022-04-20 09:17:44,R_1gAuqGCKgeT88JE,,,,,38.9361,-92.3056,anonymous,EN,AD,AG,10,10,10,10,you guys gave a lot of great context for your data,"analyzing usage between regular students and student athletes was a really creative idea, seeing how the means differed was interesting",some of your graphs/charts did not make complete sense,some of your slides were super wordy
2022-04-20 08:53:25,2022-04-20 09:22:57,IP Address,161.130.189.222,100,1772,True,2022-04-20 09:22:58,R_1ojOgpVUQMgQX3t,,,,,38.9361,-92.3056,anonymous,EN,AG,AD,10,10,10,10,Great information and projection to the class,We loved your slides,We think maybe add some fun slide transitions!,"Don't talk about the appendix "
2022-04-20 09:27:11,2022-04-20 09:30:18,IP Address,161.130.189.203,100,187,True,2022-04-20 09:30:19,R_1BQ5ZOQntar1DxD,,,,,38.9361,-92.3056,anonymous,EN,JB,AD,10,10,9,9,The group was very prepared and provided great data,The group communicated their presentation clearly,Some group members spoke monotone throughout the presentation,The slides were a little dull
2022-04-20 09:17:41,2022-04-20 09:31:28,IP Address,161.130.189.236,100,826,True,2022-04-20 09:31:28,R_1oifnB3gporJwFs,,,,,38.9361,-92.3056,anonymous,EN,NC,RL,10,9,10,10,"The overall design of the presentation is very appealing. Nice colors and organization! ",Great recommendations that were specific to the Columbia location.,Some members may want to speak slightly louder to make it easier to hear.,Some members had more content to discuss than others. Maybe could have been better equally distributed.
