StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q7,Q8,Q9,Q10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your group initials (judge team)?,What is the presentation team?,"Presentation Score 
Please consult the Presentation Evaluation Assignment to evaluate the presentation - Style","Presentation Score 
Please consult the Presentation Evaluation Assignment to evaluate the presentation - Content","Presentation Score 
Please consult the Presentation Evaluation Assignment to evaluate the presentation - Visual Aids","Presentation Score 
Please consult the Presentation Evaluation Assignment to evaluate the presentation - Creativity and Interest",Positive 1,Positive 2,Suggestion 1,Suggestion 2
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}"
2021-11-09 17:17:01,2021-11-09 17:17:21,Survey Preview,,100,20,True,2021-11-09 17:17:21,R_5AXKzjHUwphncVX,,,,,38.93359375,-92.36299896240234375,preview,EN,KD,KD,8,5,7,7,dafs,asdf,asdf,adf
2021-11-17 07:02:07,2021-11-17 07:10:06,IP Address,161.130.189.203,100,478,True,2021-11-17 07:10:06,R_3fjjizAbau81NUH,,,,,38.93609619140625,-92.30560302734375,anonymous,EN,DW,KK,10,8,8,10,Everyone seemed to know the information very well.,Great eye contact with listeners.,Make powerpoint a little less wordy.,Keep it simple.
2021-11-17 07:10:18,2021-11-17 07:22:17,IP Address,161.130.189.197,100,718,True,2021-11-17 07:22:18,R_1GH7FDyJu6NTH7M,,,,,38.93609619140625,-92.30560302734375,anonymous,EN,IJ,KK,10,10,9,10,This group was very good at articulating issues clearly,They were very enthusiastic about the topics that were most important in the presentation,"Possibly more visuals ","One presenter didn't talk nearly as much if at all, so maybe not including the person not speaking in the presentation as they are not contributing"
2021-11-17 07:03:44,2021-11-17 07:22:32,IP Address,161.130.189.195,100,1128,True,2021-11-17 07:22:32,R_3Eo4bdSBuDbzGYt,,,,,38.93609619140625,-92.30560302734375,anonymous,EN,JB,KK,10,9,8,10,I like how they have so much good and relevant information on the topic,The topic is very interesting and applies to most people especially college students,The presentation wasn't full screen so I couldn't see as well,"It was a little difficult to determine what the comparison variables were in the experiment "
2021-11-17 07:00:25,2021-11-17 07:25:05,IP Address,161.130.189.255,100,1480,True,2021-11-17 07:25:05,R_12untkh4THNawRI,,,,,38.93609619140625,-92.30560302734375,anonymous,EN,KD,KK,10,10,10,10,Knew their information well,Added additional information and didn't just read off the slides,,
2021-11-17 07:23:22,2021-11-17 07:25:35,IP Address,161.130.189.208,100,133,True,2021-11-17 07:25:35,R_1FnNg85VHFKu6J0,,,,,38.93609619140625,-92.30560302734375,anonymous,EN,IJ,KK,7,8,8,8,They were confident in speaking,Had good eye contact,Read off slides less,They could have had more to talk from rather than just the text on the slides
2021-11-17 07:23:08,2021-11-17 07:25:50,IP Address,161.130.189.244,100,161,True,2021-11-17 07:25:50,R_1Nrhx0hsDuHCztc,,,,,38.93609619140625,-92.30560302734375,anonymous,EN,GS,KK,10,10,10,10,They did a great job connecting door dash and their research,They were fluent and connected well with the audience,N/A,N/A
2021-11-17 07:23:56,2021-11-17 07:27:43,IP Address,161.130.189.251,100,227,True,2021-11-17 07:27:44,R_3CC4jtjdKvLYzvq,,,,,38.93609619140625,-92.30560302734375,anonymous,EN,JB,KK,9,8,8,2,"I love how they knew what they were talking about, knew their research and information","Despite missing a partner, they still explained that information as best as they could","Add a little more flare ","Even though you're partner was missing, still study their slides (well, everyone's). just in case something like this comes up."
2021-11-17 07:25:34,2021-11-17 07:28:06,IP Address,161.130.189.255,100,152,True,2021-11-17 07:28:07,R_recIm71zZO7Zwkh,,,,,38.93609619140625,-92.30560302734375,anonymous,EN,KD,KK,10,10,10,10,"Knew their information well. ","They did not just read off the slides. They added additional information. ",Explain t-tests,No other suggestions
2021-11-17 07:24:14,2021-11-17 07:35:25,IP Address,161.130.189.197,100,671,True,2021-11-17 07:35:26,R_2V7J8BKOCwQMIkc,,,,,38.93609619140625,-92.30560302734375,anonymous,EN,IJ,DW,8,9,9,8,Great visuals that are clear and concise in their points.,"Made some really great conclusions from the data gathered, covered all areas in question in their presentation.","A bit wordy on the slides, maybe just keep the main points available for the audience.","Not a ton of enthusiasm, possibly be more interested or bring in a hook for what is being presented so audience can be more drawn in. "
2021-11-17 07:27:41,2021-11-17 07:36:37,IP Address,161.130.189.195,100,536,True,2021-11-17 07:36:37,R_1GP46AOUd9IPyaR,,,,,38.93609619140625,-92.30560302734375,anonymous,EN,JB,DW,8,10,10,8,"Very informative and I can tell they've done a lot of research on the topic ","They adjusted their sample size for certain studies/research questions so the sample size actually applied ",The one-stop-shop recommendation was a little unclear,A more representative sample size may have helped with the bias in the results
2021-11-17 07:24:02,2021-11-17 07:39:50,IP Address,161.130.189.202,100,948,True,2021-11-17 07:39:51,R_PUGErOuXktrJN29,,,,,38.93609619140625,-92.30560302734375,anonymous,EN,KK,DW,9,10,9,10,The flow of the presentation was very natural. They were not reading right off a script which made it more entertaining.,Their research was conducted very well and lead to great conclusions for a recommendation.,Some of the slides had too much on them which made it hard to focus and read everything. I would suggest keeping the words to a minimum and only having one graph.,They keep mentioning a one-stop-shop but don't explain it as much. I would suggest further explanation on what a one-stop-shop entails.
2021-11-17 07:28:42,2021-11-17 07:40:31,IP Address,161.130.189.255,100,709,True,2021-11-17 07:40:32,R_3ISoaIczKqT9Zy6,,,,,38.93609619140625,-92.30560302734375,anonymous,EN,KD,DW,10,10,10,10,Excellent job presenting their findings,explored all possibilities of why people do not shop at HyVee,Explore the distance factor more,talk about the t-test more
